"rules","support","confidence","coverage","lift","count"
"77","{RefBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"78","{ItalArt=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"79","{RefBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"80","{Florence=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"81","{ArtBks=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"82","{GeogBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"83","{ArtBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"84","{ItalCook=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"85","{ArtBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"86","{ItalAtlas=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"87","{ArtBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"88","{ItalArt=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"89","{ArtBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"90","{Florence=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"91","{GeogBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"92","{ItalCook=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"93","{GeogBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"94","{ItalAtlas=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"95","{GeogBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"96","{ItalArt=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"97","{GeogBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"98","{Florence=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"99","{ItalCook=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"100","{ItalAtlas=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"101","{ItalCook=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"102","{ItalArt=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"103","{ItalCook=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"104","{Florence=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"105","{ItalAtlas=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"106","{ItalArt=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"107","{ItalAtlas=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"108","{Florence=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"109","{ItalArt=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"110","{Florence=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"111","{ChildBks=[0,1],YouthBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"112","{ChildBks=[0,1],CookBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"113","{YouthBks=[0,1],CookBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"114","{ChildBks=[0,1],YouthBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"115","{ChildBks=[0,1],DoItYBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"116","{YouthBks=[0,1],DoItYBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"117","{ChildBks=[0,1],YouthBks=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"118","{ChildBks=[0,1],RefBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"119","{YouthBks=[0,1],RefBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"120","{ChildBks=[0,1],YouthBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"121","{ChildBks=[0,1],ArtBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"122","{YouthBks=[0,1],ArtBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"123","{ChildBks=[0,1],YouthBks=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"124","{ChildBks=[0,1],GeogBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"125","{YouthBks=[0,1],GeogBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"126","{ChildBks=[0,1],YouthBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"127","{ChildBks=[0,1],ItalCook=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"128","{YouthBks=[0,1],ItalCook=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"129","{ChildBks=[0,1],YouthBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"130","{ChildBks=[0,1],ItalAtlas=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"131","{YouthBks=[0,1],ItalAtlas=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"132","{ChildBks=[0,1],YouthBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"133","{ChildBks=[0,1],ItalArt=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"134","{YouthBks=[0,1],ItalArt=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"135","{ChildBks=[0,1],YouthBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"136","{ChildBks=[0,1],Florence=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"137","{YouthBks=[0,1],Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"138","{ChildBks=[0,1],CookBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"139","{ChildBks=[0,1],DoItYBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"140","{CookBks=[0,1],DoItYBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"141","{ChildBks=[0,1],CookBks=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"142","{ChildBks=[0,1],RefBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"143","{CookBks=[0,1],RefBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"144","{ChildBks=[0,1],CookBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"145","{ChildBks=[0,1],ArtBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"146","{CookBks=[0,1],ArtBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"147","{ChildBks=[0,1],CookBks=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"148","{ChildBks=[0,1],GeogBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"149","{CookBks=[0,1],GeogBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"150","{ChildBks=[0,1],CookBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"151","{ChildBks=[0,1],ItalCook=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"152","{CookBks=[0,1],ItalCook=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"153","{ChildBks=[0,1],CookBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"154","{ChildBks=[0,1],ItalAtlas=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"155","{CookBks=[0,1],ItalAtlas=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"156","{ChildBks=[0,1],CookBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"157","{ChildBks=[0,1],ItalArt=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"158","{CookBks=[0,1],ItalArt=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"159","{ChildBks=[0,1],CookBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"160","{ChildBks=[0,1],Florence=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"161","{CookBks=[0,1],Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"162","{ChildBks=[0,1],DoItYBks=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"163","{ChildBks=[0,1],RefBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"164","{DoItYBks=[0,1],RefBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"165","{ChildBks=[0,1],DoItYBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"166","{ChildBks=[0,1],ArtBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"167","{DoItYBks=[0,1],ArtBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"168","{ChildBks=[0,1],DoItYBks=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"169","{ChildBks=[0,1],GeogBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"170","{DoItYBks=[0,1],GeogBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"171","{ChildBks=[0,1],DoItYBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"172","{ChildBks=[0,1],ItalCook=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"173","{DoItYBks=[0,1],ItalCook=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"174","{ChildBks=[0,1],DoItYBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"175","{ChildBks=[0,1],ItalAtlas=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"176","{DoItYBks=[0,1],ItalAtlas=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"177","{ChildBks=[0,1],DoItYBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"178","{ChildBks=[0,1],ItalArt=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"179","{DoItYBks=[0,1],ItalArt=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"180","{ChildBks=[0,1],DoItYBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"181","{ChildBks=[0,1],Florence=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"182","{DoItYBks=[0,1],Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"183","{ChildBks=[0,1],RefBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"184","{ChildBks=[0,1],ArtBks=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"185","{RefBks=[0,1],ArtBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"186","{ChildBks=[0,1],RefBks=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"187","{ChildBks=[0,1],GeogBks=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"188","{RefBks=[0,1],GeogBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"189","{ChildBks=[0,1],RefBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"190","{ChildBks=[0,1],ItalCook=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"191","{RefBks=[0,1],ItalCook=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
